user,week,logons,logoffs,unique_pcs,offhour_logons,file_ops,file_writes,bytes_total,usb_events,usb_mounts
user0575,2024-05-05,0,0,1,0,11,4,988824,2,2
user0863,2023-12-03,4,4,1,0,7,3,6522131,0,0
user0324,2023-08-20,25,24,2,0,6,2,192799,0,0
user1236,2023-07-09,21,21,1,2,7,1,1747736,1,1
user0161,2024-03-24,12,11,3,2,4,2,639310,0,0
user1035,2024-05-12,1,1,2,0,8,2,730259,0,0
user1231,2024-01-28,21,20,2,2,11,3,4337087,0,0
user1065,2023-12-31,11,11,4,1,8,2,3456422,0,0
user1254,2023-05-21,4,4,1,0,5,1,1087820,1,0
user0408,2023-05-21,16,15,2,1,7,3,454943,0,0
user1382,2023-11-19,3,3,4,0,10,3,1296081,1,1
user1392,2023-09-24,4,4,1,0,8,3,953748,0,0
user1237,2023-06-04,2,2,3,0,9,2,1067455,0,0
user1169,2023-06-18,10,9,3,1,6,3,3027603,1,0
user0833,2024-06-09,5,5,1,2,9,2,5108134,0,0
user0229,2023-04-09,8,7,6,1,7,4,3958274,0,0
user0922,2024-02-18,4,4,1,0,8,2,17821680,1,1
user0658,2024-06-30,5,5,1,1,6,1,2868225,0,0
user0465,2024-02-04,3,3,3,0,1,0,1027380,0,0
user0430,2024-06-16,33,32,1,1,13,4,2236902,0,0
user1473,2023-10-15,8,7,3,1,12,1,1860077,1,0
user0477,2024-04-21,4,3,1,0,7,2,1251410,0,0
user0802,2023-12-10,10,10,6,1,9,3,2196951,0,0
user0028,2023-08-27,18,18,5,1,2,1,2218504,0,0
user0270,2023-04-16,3,3,2,0,6,3,351240,0,0
user1115,2023-05-28,6,6,6,1,6,4,974901,1,1
user1066,2023-05-07,7,7,2,1,8,3,4384607,2,2
user1259,2023-12-03,14,14,4,1,6,1,576728,0,0
user0381,2023-03-12,4,4,1,0,10,2,4781820,0,0
user0421,2023-06-11,15,14,4,2,7,3,6144159,0,0
user0299,2024-03-10,17,16,2,3,8,4,1914231,0,0
user0747,2023-04-02,15,15,2,1,12,9,1536602,1,0
user0848,2023-05-14,4,4,1,2,10,2,1051768,0,0
user0128,2023-07-09,9,9,1,0,8,1,3483094,0,0
user0438,2023-11-19,2,2,1,0,14,2,5910824,1,0
user1245,2023-03-26,7,6,6,1,6,3,417341,0,0
user0416,2023-07-16,5,4,1,0,6,5,3673374,1,1
user0864,2024-04-21,5,5,1,0,8,4,2492526,0,0
user0053,2023-11-12,0,0,4,0,9,6,273916,0,0
user0605,2023-08-13,7,7,2,3,5,0,673196,1,0
user1336,2023-12-24,19,19,5,2,7,5,4696474,0,0
user0575,2023-04-23,3,3,1,0,8,2,3229879,0,0
user1209,2023-03-26,7,7,1,0,7,2,1263271,1,0
user0231,2023-01-01,15,15,4,0,9,1,33625536,0,0
user0297,2023-12-24,7,6,2,0,10,3,821472,0,0
user1198,2024-06-30,4,4,1,0,13,4,2054874,2,1
user1433,2024-04-21,18,18,2,1,8,3,9836390,0,0
user0080,2023-09-17,3,3,1,0,13,5,4089660,0,0
user0307,2023-01-15,4,4,1,0,5,2,4574954,1,1
user0329,2023-08-06,2,1,3,0,10,2,3820088,1,1
user0272,2023-08-06,9,8,2,1,12,4,465960,1,1
user0538,2023-10-01,10,10,1,1,6,3,1739755,0,0
user1128,2024-01-07,0,0,1,0,11,6,1342824,0,0
user0022,2023-10-22,1,1,1,0,5,2,1972043,1,1
user0190,2024-02-04,5,5,1,1,4,1,6151251,1,0
user1043,2024-05-12,8,8,4,0,12,2,3298792,0,0
