user,week,emails,mean_len,kw_hits
user0064,2024-07-07,21,376.0,5
user0172,2023-06-18,12,145.9,0
user0318,2023-10-29,20,285.8,1
user0773,2023-08-27,16,189.5,0
user0172,2023-06-18,21,391.6,1
user0069,2023-02-26,16,239.8,0
user0280,2023-10-01,11,410.8,2
user0091,2023-10-15,16,329.5,1
user0039,2023-12-24,15,194.3,1
user0175,2023-03-12,14,326.8,1
user0541,2023-04-23,14,381.7,1
user0695,2023-08-27,10,314.7,0
user0238,2023-07-30,12,344.5,2
user0502,2024-03-17,13,301.1,0
user0596,2024-01-07,9,159.3,1
user0659,2023-01-15,18,210.6,0
user0115,2023-05-14,10,235.5,0
user0398,2023-12-03,20,395.2,1
user0416,2023-05-28,16,193.6,1
user0288,2023-12-03,11,252.7,0
user0254,2023-09-24,15,316.3,1
user0656,2023-05-07,13,278.3,0
user0647,2023-09-03,15,279.2,1
user0170,2023-05-07,17,167.2,1
user0053,2023-06-25,15,201.4,0
user0005,2024-03-24,15,258.8,0
user0019,2024-01-28,22,389.5,1
user0210,2023-04-09,11,351.0,1
user0154,2023-07-23,12,204.4,0
user0199,2024-03-03,15,287.4,1
user0784,2023-03-26,11,220.8,0
user0715,2023-06-18,8,122.7,0
user0377,2023-01-15,20,244.8,2
user0109,2023-06-11,10,287.5,1
user0726,2023-09-03,16,323.7,0
user0744,2023-10-01,17,279.6,1
user0399,2024-01-28,13,257.9,0
user0411,2023-02-12,17,384.5,1
user0732,2023-06-18,23,268.5,0
user0511,2023-10-08,13,262.6,1
user0560,2024-05-26,10,335.6,0
user0255,2023-03-12,19,326.6,0
user0114,2024-06-02,11,122.2,0
user0563,2023-01-29,17,350.8,1
user0244,2023-06-11,14,351.7,0
user0083,2024-04-14,21,253.8,1
user0312,2024-05-05,13,116.5,1
user0011,2023-12-03,11,238.9,0
user0448,2023-04-02,11,440.6,0
user0360,2024-05-19,7,177.3,0
user0705,2023-10-29,17,207.9,1
user0027,2023-01-15,18,326.5,1
user0086,2023-08-20,11,108.6,0
user0038,2024-01-14,14,354.5,4
user0034,2024-06-30,10,286.0,1
user0009,2023-09-03,16,178.6,1
user0421,2023-02-05,9,323.6,1
user0374,2023-03-19,13,427.2,2
user0455,2024-04-14,16,404.3,1
user0358,2023-11-12,17,173.4,0
