user,week,auth_events,auth_success,success_rate,uniq_src,uniq_dst,night_auth
user1202,2023-12-24,13,13,1.0,1,1,0
user1193,2024-06-30,13,13,1.0,1,3,1
user0865,2023-10-22,9,8,0.889,2,1,1
user0652,2023-08-27,9,8,0.889,2,4,1
user0061,2023-09-17,12,11,0.917,1,1,1
user1589,2024-03-03,15,15,1.0,1,3,0
user1302,2024-05-12,11,10,0.909,1,3,0
user0566,2023-07-30,16,15,0.938,1,1,0
user1216,2023-02-26,7,6,0.857,2,2,0
user1216,2023-03-05,13,13,1.0,1,2,0
user0823,2023-10-22,12,9,0.75,3,2,0
user1622,2023-03-05,16,16,1.0,1,3,0
user1089,2023-10-29,17,17,1.0,1,2,1
user1825,2024-05-05,13,12,0.923,1,2,2
user1336,2023-04-02,11,10,0.909,1,2,0
user1984,2024-05-26,8,7,0.875,4,1,1
user1972,2023-05-28,16,14,0.875,1,2,2
user0212,2023-03-26,15,15,1.0,3,1,0
user1275,2024-06-16,6,4,0.667,1,3,0
user1018,2023-04-30,11,9,0.818,1,1,2
user0366,2023-06-11,11,11,1.0,1,1,0
user1310,2024-02-25,14,14,1.0,3,3,0
user0198,2023-12-17,11,10,0.909,2,1,0
user1856,2023-07-16,12,12,1.0,1,2,2
user0081,2023-07-16,11,10,0.909,1,4,0
user0366,2024-03-03,18,16,0.889,2,1,1
user1272,2024-05-12,9,9,1.0,1,1,0
user0721,2024-03-31,14,13,0.929,1,1,2
user1234,2023-06-18,9,9,1.0,2,5,1
user0319,2023-05-07,10,9,0.9,2,2,0
user1945,2023-01-08,15,15,1.0,4,2,0
user1274,2023-03-12,10,10,1.0,1,1,0
user0143,2023-03-26,13,11,0.846,5,3,2
user1860,2024-07-07,12,12,1.0,1,1,1
user1262,2024-02-11,15,15,1.0,1,1,0
user1147,2024-04-07,11,11,1.0,3,2,0
user0573,2023-06-18,12,11,0.917,1,3,0
user0006,2024-06-16,15,15,1.0,2,3,0
user0571,2024-06-09,17,16,0.941,1,3,1
user0469,2023-02-12,9,8,0.889,1,3,0
user1164,2023-10-22,14,13,0.929,1,2,0
user0240,2023-06-11,15,12,0.8,1,1,0
user1480,2023-07-16,15,14,0.933,1,2,1
user1249,2024-03-10,15,12,0.8,4,4,2
user1354,2023-01-29,15,14,0.933,2,1,1
user0841,2023-02-12,9,6,0.667,1,2,0
